,Actor1CountryCode,Actor1Name,GoldsteinScale,NumMentions,SQLDATE
220,LBR,ELLEN JOHNSON SIRLEAF,1.9,7,20100630
221,LBR,ELLEN JOHNSON SIRLEAF,3.0,7,19960411
222,LBR,ELLEN JOHNSON SIRLEAF,7.0,7,20090913
223,LBR,ELLEN JOHNSON SIRLEAF,7.0,7,20090913
224,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20090913
225,LBR,ELLEN JOHNSON SIRLEAF,1.0,8,20090913
226,LBR,ELLEN JOHNSON SIRLEAF,7.4,8,20141007
227,LBR,ELLEN JOHNSON SIRLEAF,-4.0,8,20141007
228,LBR,ELLEN JOHNSON SIRLEAF,0.4,6,20141014
229,LBR,ELLEN JOHNSON SIRLEAF,4.0,4,20141014
230,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20141014
231,LBR,ELLEN JOHNSON SIRLEAF,3.0,6,20130926
232,LBR,ELLEN JOHNSON SIRLEAF,3.4,10,20130926
233,LBR,ELLEN JOHNSON SIRLEAF,-5.0,6,20130926
234,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20130926
235,LBR,ELLEN JOHNSON SIRLEAF,3.0,2,20130926
236,LBR,ELLEN JOHNSON SIRLEAF,-5.0,3,20130926
237,LBR,ELLEN JOHNSON SIRLEAF,4.0,8,20100819
238,LBR,ELLEN JOHNSON SIRLEAF,4.0,9,20100819
239,LBR,ELLEN JOHNSON SIRLEAF,3.4,8,20100819
240,LBR,ELLEN JOHNSON SIRLEAF,8.0,9,20100820
241,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20121025
242,LBR,ELLEN JOHNSON SIRLEAF,7.0,12,20121025
243,LBR,ELLEN JOHNSON SIRLEAF,0.0,20,20121026
244,LBR,ELLEN JOHNSON SIRLEAF,8.0,40,20121026
245,LBR,ELLEN JOHNSON SIRLEAF,0.0,6,20121027
246,LBR,ELLEN JOHNSON SIRLEAF,0.0,4,20121027
247,LBR,ELLEN JOHNSON SIRLEAF,8.0,20,20121027
248,LBR,ELLEN JOHNSON SIRLEAF,0.0,1,20120419
249,LBR,ELLEN JOHNSON SIRLEAF,3.4,6,20120419
250,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20120419
251,LBR,ELLEN JOHNSON SIRLEAF,0.0,7,20120419
252,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20141005
253,LBR,ELLEN JOHNSON SIRLEAF,-9.0,1,20130323
254,LBR,ELLEN JOHNSON SIRLEAF,-9.0,1,20130323
255,LBR,ELLEN JOHNSON SIRLEAF,-9.0,1,20130323
256,LBR,ELLEN JOHNSON SIRLEAF,-9.0,1,20130323
257,LBR,ELLEN JOHNSON SIRLEAF,-4.4,10,20130325
258,LBR,ELLEN JOHNSON SIRLEAF,1.0,10,20130325
259,LBR,ELLEN JOHNSON SIRLEAF,7.0,20,20130325
260,LBR,ELLEN JOHNSON SIRLEAF,-10.0,20,20130325
261,LBR,ELLEN JOHNSON SIRLEAF,0.0,5,20110718
262,LBR,ELLEN JOHNSON SIRLEAF,1.9,3,20110718
263,LBR,ELLEN JOHNSON SIRLEAF,0.0,8,20110718
264,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20110719
265,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20110719
266,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20110720
267,LBR,ELLEN JOHNSON SIRLEAF,1.9,4,20110720
268,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20110720
269,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20110720
270,LBR,ELLEN JOHNSON SIRLEAF,4.0,1,20030311
271,LBR,ELLEN JOHNSON SIRLEAF,1.0,1,20101225
272,LBR,ELLEN JOHNSON SIRLEAF,3.4,6,20131122
273,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20131122
274,LBR,ELLEN JOHNSON SIRLEAF,0.4,5,20080528
275,LBR,ELLEN JOHNSON SIRLEAF,3.2,7,20080528
276,LBR,ELLEN JOHNSON SIRLEAF,0.4,2,20080528
277,LBR,ELLEN JOHNSON SIRLEAF,3.2,2,20080528
278,LBR,ELLEN JOHNSON SIRLEAF,1.0,10,20080528
279,LBR,ELLEN JOHNSON SIRLEAF,3.2,7,20080529
280,LBR,ELLEN JOHNSON SIRLEAF,0.0,4,20080529
281,LBR,ELLEN JOHNSON SIRLEAF,3.2,2,20080529
282,LBR,ELLEN JOHNSON SIRLEAF,-2.0,5,20080530
283,LBR,ELLEN JOHNSON SIRLEAF,0.0,4,20080530
284,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20080530
285,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20080530
286,LBR,ELLEN JOHNSON SIRLEAF,-2.0,4,20080530
287,LBR,ELLEN JOHNSON SIRLEAF,0.0,5,20080602
288,LBR,ELLEN JOHNSON SIRLEAF,0.0,2,20080602
289,LBR,ELLEN JOHNSON SIRLEAF,4.0,4,20080604
290,LBR,ELLEN JOHNSON SIRLEAF,3.0,10,20141016
291,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20141115
292,LBR,ELLEN JOHNSON SIRLEAF,2.8,8,20141115
293,LBR,ELLEN JOHNSON SIRLEAF,3.4,8,20131031
294,LBR,ELLEN JOHNSON SIRLEAF,-6.5,6,20131031
295,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20140905
296,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20140905
297,LBR,ELLEN JOHNSON SIRLEAF,2.8,4,20140905
298,LBR,ELLEN JOHNSON SIRLEAF,2.8,4,20140905
299,LBR,ELLEN JOHNSON SIRLEAF,3.4,9,20110419
